Repo Name,Star Count,Epic Issue Count,Total Issue Count,Fork Count,Watcher Count,Created At,Updated At,Primary Language
Wednesday-Fall2023-Team-4,1,12,87,0,3,2023-09-13T16:10:43Z,2023-11-21T03:48:41Z,HTML
patternfly-react,720,20,4639,350,27,2017-03-08T22:31:12Z,2023-11-26T16:53:55Z,TypeScript
registry-api,1,10,227,5,5,2022-01-04T20:36:08Z,2023-11-07T23:58:03Z,Java
node-red-dashboard,48,4,252,8,8,2023-04-21T16:37:13Z,2023-11-26T21:48:20Z,HTML
kakarot,730,1,315,187,23,2022-10-04T14:33:18Z,2023-11-27T06:51:40Z,Cairo
inat-get,0,12,51,0,1,2023-08-30T09:38:03Z,2023-09-14T09:50:51Z,Ruby
IS601-Project,0,5,9,1,1,2023-11-13T20:02:05Z,2023-11-13T20:02:05Z,
kakarot-ssj,88,3,313,42,4,2023-02-09T13:57:11Z,2023-11-27T15:21:27Z,Cairo
Card-Creation,0,2,15,0,1,2023-11-22T00:06:10Z,2023-11-23T01:21:34Z,HTML
single-cell,4,55,525,2,13,2020-07-17T23:51:24Z,2023-11-18T18:07:41Z,
osparc-ops-environments,2,17,203,6,8,2018-05-29T12:01:21Z,2023-10-19T09:34:05Z,HTML
vistascape,0,7,57,1,1,2023-10-05T19:16:35Z,2023-11-16T20:16:22Z,JavaScript
Vital,0,3,27,0,0,2023-11-07T09:50:22Z,2023-11-14T14:16:33Z,C#
atramhasis,47,7,489,11,18,2014-04-08T08:02:45Z,2023-09-12T19:41:30Z,Python
zashi-ios,20,3,573,10,9,2021-07-19T17:55:59Z,2023-11-21T18:39:53Z,Swift
app-backend,0,3,32,0,0,2023-09-25T18:46:54Z,2023-10-24T16:12:43Z,TypeScript
stackable-cockpit,5,5,58,2,8,2023-04-18T12:59:40Z,2023-11-09T10:38:54Z,Rust
os2ID,3,3,15,0,2,2023-10-17T12:14:48Z,2023-11-14T07:54:47Z,
metamask-extension,10897,111,9742,4716,534,2015-09-06T16:34:48Z,2023-11-27T19:05:28Z,JavaScript
docs2,42,2,304,82,20,2021-09-09T22:33:39Z,2023-11-27T07:23:53Z,JavaScript
druid-operator,10,1,83,0,9,2021-10-11T11:25:15Z,2023-10-11T08:33:10Z,Rust
book-swap,0,0,23,1,1,2023-10-23T14:39:20Z,2023-11-21T14:43:29Z,JavaScript
group8-fall2023,1,5,72,0,4,2023-08-06T21:36:43Z,2023-10-26T19:13:58Z,Python
clinvar-ingest-reports,0,6,64,0,6,2023-01-18T21:28:02Z,2023-09-08T17:38:50Z,
nzshm-runzi,0,1,87,1,2,2021-07-24T01:56:23Z,2021-12-20T00:56:24Z,Python
queryapi,9,9,148,1,2,2023-01-20T00:18:13Z,2023-11-16T21:08:31Z,JavaScript
Dino_Shop,0,3,20,0,1,2023-10-30T16:35:04Z,2023-11-13T17:29:12Z,HTML
avni-client,7,5,1079,14,6,2016-07-31T11:19:06Z,2023-09-19T12:21:43Z,JavaScript
casgate,9,1,9,6,4,2023-07-30T16:04:14Z,2023-10-31T12:12:49Z,Go
geoview,15,17,895,28,7,2020-12-18T14:38:45Z,2023-11-24T23:12:44Z,TypeScript
hopr-devrel,1,10,206,11,7,2021-08-09T13:29:45Z,2023-09-01T16:14:18Z,Jupyter Notebook
devil-on-pans,0,7,70,1,1,2023-09-25T19:36:43Z,2023-10-21T21:40:13Z,HTML
pbj,5,2,60,2,10,2022-11-05T18:11:23Z,2023-11-27T17:52:00Z,Java
lisk-core,144,1,465,50,25,2019-04-12T08:52:23Z,2023-10-31T18:44:18Z,TypeScript
goci,26,25,987,20,9,2011-12-16T14:25:43Z,2023-10-26T12:25:55Z,Java
portfolio-project-4,0,4,72,0,1,2023-10-07T23:06:45Z,2023-10-17T05:59:37Z,HTML
care_fe,119,10,3181,219,15,2020-03-21T17:32:30Z,2023-11-27T05:29:08Z,TypeScript
lisk-mobile,101,1,1161,32,23,2018-04-26T15:46:12Z,2023-11-11T02:24:46Z,JavaScript
kubernetes-ingress,4413,3,970,1930,110,2016-03-10T03:45:12Z,2023-11-27T09:39:29Z,Go
sunroom,3,2,10,0,3,2015-05-19T22:30:20Z,2023-11-27T08:47:25Z,
image-classifier,6,2,13,1,5,2023-10-25T08:42:36Z,2023-11-23T00:09:58Z,Elixir
silverstripe-elemental,110,1,523,117,23,2014-08-26T05:27:34Z,2023-10-10T09:06:07Z,PHP
BAV,0,9,540,0,3,2022-03-16T23:15:28Z,2022-03-16T23:15:28Z,
OpenSID,945,3,5946,972,101,2016-05-21T10:55:38Z,2023-11-27T03:11:04Z,PHP
foi-flow,4,19,2641,2,9,2021-04-14T18:27:40Z,2023-07-06T15:15:41Z,Python
pdxfinder,5,12,865,6,3,2017-01-11T16:25:27Z,2023-01-09T22:05:28Z,Java
backend-application,0,1,15,0,1,2023-11-13T22:05:14Z,2023-11-17T14:10:33Z,PHP
rollups-node,1,6,100,5,8,2023-07-19T13:21:45Z,2023-11-16T21:02:17Z,Rust
dotcom-rendering,221,38,1877,28,57,2017-10-16T10:13:32Z,2023-11-14T11:48:29Z,TypeScript
ocl_issues,4,115,1701,1,15,2018-02-21T19:43:31Z,2023-02-16T18:38:56Z,
autorest.typescript,173,6,1045,76,119,2017-08-24T06:29:08Z,2023-11-20T16:00:32Z,TypeScript
doorway,3,7,147,0,2,2023-01-20T19:32:30Z,2023-08-11T04:56:34Z,TypeScript
aimmo,112,3,876,58,42,2015-07-14T12:10:11Z,2023-11-26T15:39:34Z,Python
zkLLVM,201,6,205,28,13,2022-10-29T02:17:11Z,2023-11-21T08:12:49Z,C++
